variant                                                    geom%   useful     pref     perm     late
variantBMAlignSuppConfMB27_2026-04-21                     +0.008        0     2262      884      681
variantBMAlignSuppConfT1MB27_2026-04-21                   +0.008        0     1983      877      666
variantBMAlignSuppMB27_2026-04-21                         -0.010        0     4177     1289     1082
variantBMPolySuppMB27_2026-04-21                          -0.036        6     9961     1407     1146
variantBMAlign8SuppMB27_2026-04-21                        -0.036        6     9959     1407     1146
variantBMAlignSuppMB24_2026-04-21                         -0.084        2     3967     1188     1046
variantBMDensThreshMB27_2026-04-21                        -0.126        7     9712     1332     1118
variantBMPolyMB27_2026-04-21                              -0.143        5    12099     2684     2385
variantBMPolyMB24_2026-04-21                              -0.215        3     9292     2744     2372
variantBMPolyMB20_2026-04-21                              -0.336       23     9417     4765     3652
variantBMPolyGradMB27_2026-04-21                          -0.345        5    12146     2665     2361
variantBMmb24_CDP_BITMATCH_mb24_2026-04-21                -0.350       29    33645    12014     4597
variantBMalignmb20_2026-04-21                             -0.446       39    21969     8181     3864
variantBMmb20_CDP_BITMATCH_mb20_2026-04-21                -0.480       70    45660    18523     6438
variantBMmb27_CDP_BITMATCH_mb27_2026-04-21                -0.547        7    31157     9804     4173
variantBM_8bench_2026-04-21                               -0.647      421    47213    18510     6817
variantPureStride_8bench_2026-04-20                      -18.807     5519    97035    31386     3102
variantBMAligned_CDP_BMALIGNED_2026-04-20                -19.861      102    43498    16351     5963
Logs                                                     -25.718     1173   165118    17913     4329
